enum,label,color,children,comments
ABS,|⋅|,,1,
ADDITION,+,,2,
ARGS,args,,n,
BACKSLASH,\\\\,,2,
BOOLEANS,𝔹,orange,,
BRACKET_GROUPING,group[],,1,
CALL,f(),,2,
CROSS,×,,2,
DAGGER,†,,1,
DECREMENT,x⁻,,1,
DEFINE_EQUALS,≔,,2,
DIVIDE,÷,,2,
DOT,⋅,,2,
EMPTY_SET,∅,orange,,
EQUAL,=,,n,
EXPR_STMT,expr\\nstmt,,1,
FACTORIAL,!,,1,
FORWARDSLASH,/,,2,
GREATER,>,,2,
GREATER_EQUAL,≥,,2,
IDENTIFIER,id,lightblue,,
IMPLICIT_MULTIPLY,*imp,,2,
IN,∈,,2,
INCREMENT,x⁺,,1,
INFTY,∞,orange,,
INTEGERS,ℤ,orange,,
INTEGRAL,∫,,"1,3",
INTERSECTION,∩,,2,
LESS,<,,2,
LESS_EQUAL,≤,,2,
LOGICAL_AND,∧,,2,
LOGICAL_NOT,¬,,1,
LOGICAL_OR,∨,,2,
MODULUS,%,,2,
MULTIFACTORIAL,!,,2,
MULTIPLICATION,*,,2,
NATURAL_NUMS,ℕ,orange,,
NEGATIVE_REALS,ℝ⁻,orange,,
NORM,‖⋅‖,,1,
NOT_EQUAL,≠,,2,
NOT_IN,∉,,2,
NUMBER,num,orange,,
PAREN_GROUPING,group(),,1,
POSITIVE_REALS,ℝ⁺,orange,,
POWER,^,,2,
QUATERNIONS,ℍ,orange,,
RANGE_CLOSE_CLOSE,range[],,2,
RANGE_CLOSE_OPEN,range[),,2,
RANGE_OPEN_CLOSE,range(],,2,
RANGE_OPEN_OPEN,range(),,2,
RATIONAL_NUMS,ℚ,orange,,
REALS,ℝ,orange,,
SET_LITERAL,{},,n,
SUBSCRIPT_ACCESS,xᵢ,,n,
SUBSCRIPT_PARTIAL,∂,,1,
SUBTRACTION,-,,2,
SUMMATION,Σ,,n,this could be ambiguous if you aren’t careful
TICK_DERIVATIVE,',,1,
TRANSPOSE,⊤,,1,
TYPED_BINOMIAL,⁜b,,2,
TYPED_CASES,⁜c,,n,n must be even
TYPED_FRACTION,⁜f,,2,
TYPED_MATRIX,⁜⊞,,n,
TYPED_POWER,⁜^,,2,
TYPED_ROOT,⁜√,,2,
TYPED_SQRT,⁜√,,1,
UNARY_MINUS,-,,1,
UNION,∪,,2,
VEE,∨,,1,
WEDGE,∧,,1,
