enum,label,color,children,comments
ABS,|⋅|,,1,
ACCENT_ARROW,⁜→,,1,
ACCENT_BAR,⁜ā,,1,
ACCENT_BREVE,⁜ă,,1,
ACCENT_DOT,⁜ȧ,,1,
ACCENT_DDOT,⁜ä,,1,
ACCENT_DDDOT,⁜⋯,,1,
ACCENT_HAT,⁜â,,1,
ACCENT_TILDE,⁜ã,,1,
ADDITION,+,,2,
ARGS,args,,n,
BACKSLASH,\\\\,,2,
BOOLEANS,𝔹,orange,,
BRACKET_GROUPING,group[],,1,
CALL,f(),,2,
CEILING,⌈⋅⌉,,1,
COMPLEX_NUMS,ℂ ,orange,,
CONDITIONAL_PROBABLITY,P(|),,2,
CONTINUOUS,ℂⁿ,,1,
CROSS,×,,2,
CURL,∇×,,1,
CURRENCY_DOLLARS,$,pink,1,
CURRENCY_EUROS,€,pink,1,
CURRENCY_POUNDS,£,pink,1,
DAGGER,†,,1,
DECREMENT,x⁻,,1,
DEFINE_EQUALS,≔,,2,
DERIVATIVE,ⅆy/ⅆx,,2,
DIVERGENCE,∇⋅,,1,
DIVIDE,÷,,2,
DOT,⋅,,2,
EMPTY_SET,∅,orange,,
EQUAL,=,,n,
EXPR_STMT,expr\\nstmt,,1,
FACTORIAL,!,,1,
FLOOR,⌊⋅⌋,,1,
FORWARDSLASH,/,,2,
GRADIENT,∇ ,,1,
GREATER,>,,2,
GREATER_EQUAL,≥,,2,
IDENTIFIER,id: ,lightblue,,
IMPLICIT_MULTIPLY,*imp,,2,
IN,∈,,2,
INCREMENT,x⁺,,1,
INFIMUM,inf,,2,
INFTY,∞,orange,,
INNER_PRODUCT,⟨⋅|⋅⟩,,2,
INTEGERS,ℤ,orange,,
INTEGRAL,∫,,"2,4",
INTERSECTION,∩,,2,
LESS,<,,2,
LESS_EQUAL,≤,,2,
LIMIT,lim,,3,
LOGICAL_AND,∧,,2,
LOGICAL_NOT,¬,,1,
LOGICAL_OR,∨,,2,
MAX,max,,2,
MIN,min,,2,
MINUS_PLUS_UNARY,∓,,1,
MINUS_PLUS_BINARY,∓,,2,
MODULUS,%,,2,
MULTIFACTORIAL,!,,2,
MULTIPLICATION,*,,2,
NATURAL_NUMS,ℕ,orange,,
NEGATIVE_REALS,ℝ⁻,orange,,
NORM,‖⋅‖,,1,
NOT_EQUAL,≠,,2,
NOT_IN,∉,,2,
NUMBER,,orange,,
ODOT,⨀,,2,
OUTER_PRODUCT,⊗,,2,
PAREN_GROUPING,group(),,1,
PARTIAL,∂y/∂x,,2,
PLUS_MINUS_UNARY,±,,1,
PLUS_MINUS_BINARY,±,,2,
POSITIVE_REALS,ℝ⁺,orange,,
POWER,^,,2,
PRODUCT,∏,,"1,3",
PROPORTIONAL,∝,,2,
QUATERNIONS,ℍ,orange,,
RANGE_CLOSE_CLOSE,range[],,2,
RANGE_CLOSE_OPEN,range[),,2,
RANGE_OPEN_CLOSE,range(],,2,
RANGE_OPEN_OPEN,range(),,2,
RATIONAL_NUMS,ℚ,orange,,
REALS,ℝ,orange,,
SET_BUILDER,{|},,n,
SET_ENUMERATED,{},,n,
SUBSCRIPT_ACCESS,xᵢ,,n,
SUBSCRIPT_PARTIAL,∂,,1,
SUBTRACTION,-,,2,
SUMMATION,Σ,,"1,3",
SUPREMUM,sup,,2,
TICK_DERIVATIVE,',,1,
TRANSPOSE,⊤,,1,
TYPED_BINOMIAL,⁜b,,2,
TYPED_CASES,⁜c,,n,n must be even
TYPED_FRACTION,⁜f,,2,
TYPED_MATRIX,⁜⊞,,n,
TYPED_POWER,⁜^,,2,
TYPED_ROOT,⁜√,,2,
TYPED_SQRT,⁜√,,1,
UNARY_MINUS,-,,1,
UNION,∪,,2,
VEE,∨,,1,
WEDGE,∧,,1,
