enum,label,keyword,comment
AccentArrow,⁜→,,
AccentBar,⁜ā,,
AccentBreve,⁜ă,,
AccentDot,⁜ȧ,,
AccentDdot,⁜ä,,
AccentDddot,⁜⋯,,
AccentHat,⁜â,,
AccentTilde,⁜ã,,
At,@,,
Backslash,\\,,
Bar,|,,
BigProduct,⁜∏,,
BigSum,⁜∑,,
Binomial,⁜b,,
Cap,∩,,
Cos,cos,y,
Cup,∪,,
Caret,^,,
Cases,⁜c,,
Comma,",",,
Complex,ℂ ,,
Colon,:,,
Conjunction,∧,,
Dagger,†,,
DefEquals,≔,,
Differential,ⅆ,,
Disjunction,∨,,
Divide,÷,,
Dollar,$,,
DotProduct,⋅,,
DoubleBar,‖,,
DoubleDagger,‡,,
DoubleExclam,‼️,,
Dualscript,⁜Δ,,
EmptySet,∅,,
Equals,=,,
Euro,€,,
Exclam,!,,
Exists,∃,,
ForAll,∀,,
Forwardslash,/,,
Fraction,⁜f,,
Greater,>,,
GreaterEqual,≥,,
Hash,#,,
Identifier,ID,,
In,∈,,
Infimum,inf,y,
Infinity,∞,,
Integer,ℤ,,
Integral,⁜∫,,
IntegralUnicode,∫ ,,
LeftAngle,⟨,,
LeftArrow,←,,
LeftBrace,[,,
LeftBracket,{,,
LeftCeil,⌈,,
LeftDoubleAngle,⟪,,
LeftFloor,⌊,,
LeftParen,(,,
Less,<,,
LessEqual,≤,,
Lim,lim,y,
MapsTo,↦,,
Matrix,⁜⊞,,
Max,max,y,
Min,min,y,
Minus,-,,
MinusPlus,∓,,
Multiply,*,,
Nabla,∇ ,,
Natural,ℕ,,
Newline,\\n,,
Not,¬,,
NotEqual,≠,,
Number,num,,
ODot,⨀,,
OuterProduct,⊗,,
Partial,∂,,
Percent,%,,
Period,.,,
PlanckConst,ℎ,,
Plus,+,,
PlusMinus,± ,,
PoundSterling,£,,
Prime,ℙ,,
Proportional,∝,,
Quaternion,ℍ,,
Rational,ℚ,,
Real,ℝ,,
RightAngle,⟩,,
RightArrow,→,,
RightBrace,],,
RightBracket,},,
RightCeil,⌉,,
RightDoubleAngle,⟫,,
RightFloor,⌋,,
RightParen,),,
Root,⁜√,,
Semicolon,;,,
Sin,sin,y,
SpecialClose,⏵,,
SpecialEscape,⁜,,
SpecialOpen,⏴,,
Subscript,⁜_,,
Superscript,⁜^,,
Supremum,sup,y,
SuspensionPoint,…,,
Tick,',,
Tilde,~,,
Times,×,,
Transpose,⊤,,
UnderscriptedWord,⁜w,,
Boolean,𝔹,,
Irrational,𝕁,,
Sphere,𝕊,,
Whole,𝕎,,
